PERIOD_BEGIN	PERIOD_END	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED
2020-06-01	2020-06-30	30	place	6	17150	FALSE	Salt Lake City, UT	Salt Lake City	Utah	UT	Multi-Family (2-4 Unit)	4	430000	-0.3174603175	-0.1152263374	419000	-0.08764289603	0.02220053672	209.401709402	0.0106307318	0.1490362125	263.748191027	-0.005101820841	0.1536140263	11	0.5714285714	0.375	14	0.07692307692	0.5555555556	6	-0.4	-0.25	17	-0.32	0.5454545455	1.5	-2.1	0.1	36	9	27	0.9886799329	0.01505574919	0.00639348616	0.2727272727	-0.01298701299	0.02272727273	0.4705882353	0.07058823529	0.01604278075	0.3571428571	0.1263736264	-0.3095238095	Salt Lake City, UT	41620	2025-08-01 14:37:32.798 Z
2021-11-01	2021-11-30	30	place	6	15702	FALSE	Pittsburgh, PA	Pittsburgh	Pennsylvania	PA	Townhouse	13	311450	-0.07902713092	0.03816666667	219250	-9.113693324e-4	0.104534005	207.308755323	-0.026478085	0.1104464892	152.542479662	0.01494587968	0.08810164674	26	0.08333333333	-0.03703703704	22	-0.1538461538	0.375	16	-0.2380952381	0.3333333333	80	-0.1111111111	0.1428571429	3.1	-0.7	0.5	70	5	-3	0.9882807357	0.0248939768	0.009278680694	0.3076923077	0.09935897436	0.1965811966	0.175	-0.05833333333	0.01785714286	0.2272727273	-0.3111888112	0.03977272727	Pittsburgh, PA	38300	2025-08-01 14:37:32.798 Z
2022-05-01	2022-05-31	30	place	6	15702	FALSE	Pittsburgh, PA	Pittsburgh	Pennsylvania	PA	Townhouse	13	289500	-0.1787234043	-0.1775568182	269000	0.076	0.1700739452	190.546679198	-0.1851219138	-0.208635267	178.205219758	0.002879347716	0.08307926052	24	-0.2	-0.1724137931	29	0.16	-0.06451612903	43	0.9545454545	0.0487804878	76	0.2881355932	-0.1648351648	3.2	1.2	0.1	64	16	-2	0.9823934342	-0.01986811543	-0.00414784393	0.2916666667	-0.1083333333	-0.1221264368	0.1447368421	0.04304192685	-0.02009832273	0.7931034483	0.2331034483	0.1802002225	Pittsburgh, PA	38300	2025-08-01 14:37:32.798 Z
2019-04-01	2019-04-30	30	place	6	17150	FALSE	Salt Lake City, UT	Salt Lake City	Utah	UT	Townhouse	13	401330	-0.01987935624	0.01269240474	399999	-0.01920162813	0.06100530504	250.672059739	0.01990292701	0.05126662449	232.398413837	-0.03004435598	0.0838045929	9	-0.1818181818	-0.1	10	0	0	10	-0.4444444444	-0.1666666667	22	-0.08333333333	1.444444444	2.4	0.2	1.5	95	59	63	1.002347418	0.008823641711	-0.005639831669	0.1111111111	-0.1616161616	-0.4888888889	0.1363636364	0.05303030303	NA	0.4	0	-0.4	Salt Lake City, UT	41620	2025-08-01 14:37:32.798 Z
2023-11-01	2023-11-30	30	place	6	15702	FALSE	Pittsburgh, PA	Pittsburgh	Pennsylvania	PA	Single Family Residential	6	196500	-0.1575562701	0.03968253968	239900	0.09095043201	0.1995	146.616541353	-0.06828967745	0.06314109017	166.867751665	0.1354380867	0.1316918136	211	-0.1208333333	-0.08658008658	213	-0.1776061776	-0.06578947368	229	-0.1993006993	0	847	-0.05363128492	-0.1572139303	4	0.3	-0.4	50	-4	-10	0.9560506785	-0.01442836188	0.008148943297	0.2227488152	-0.0689178515	0.03660162902	0.2609208973	-0.0698053597	0.01713980276	0.3802816901	-0.1139268041	0.1127378305	Pittsburgh, PA	38300	2025-08-01 14:37:32.798 Z
2016-03-01	2016-03-31	30	place	6	11203	FALSE	Los Angeles, CA	Los Angeles	California	CA	All Residential	-1	580000	-0.01360544218	0.09433962264	629900	0.007920633651	0.08603448276	384.615384615	0.02498276495	0.0888818279	396.40861717	-0.002775501555	0.07366807521	2282	0.4051724138	0.01018149624	3169	0.2297244858	0.01213669754	3268	0.1663097787	0.02188868043	5730	0.03691639522	0.06052193226	2.5	-0.9	0.1	33	-10	7	0.9996419461	0.006639802875	0.005716249934	0.3860648554	0.04062150564	0.04476339457	0.1886561955	0.02778033589	-0.02178244973	0.3628905017	0.03304960146	0.02945070614	Los Angeles, CA	31084	2025-08-01 14:37:32.798 Z
2018-09-01	2018-09-30	30	place	6	15702	FALSE	Pittsburgh, PA	Pittsburgh	Pennsylvania	PA	Condo/Co-op	3	180000	-0.003046247577	-0.378238342	175000	0.09443402126	0.02941176471	171.993300046	0.02370412187	-0.2570358847	129.490392648	0.03491998772	0.1073903113	20	-0.4736842105	-0.2307692308	23	-0.425	0.15	33	-0.2142857143	0.1379310345	165	0.07142857143	-0.0119760479	8.3	4.2	1.9	92	19	-60	0.952643234	-5.976973799e-4	0.009749554048	0	-0.1052631579	-0.03846153846	0.09090909091	-0.08441558442	-0.1066956995	0.2173913043	-0.1576086957	-0.08260869565	Pittsburgh, PA	38300	2025-08-01 14:37:32.798 Z
2019-07-01	2019-07-31	30	place	6	17150	FALSE	Salt Lake City, UT	Salt Lake City	Utah	UT	Condo/Co-op	3	287450	-0.04183333333	0.1614141414	360000	-0.121737009	2.778549597e-4	282.831299943	0.02034076562	0.02896324088	231.132075472	0.01095367954	0.06798959011	48	-0.02040816327	0	65	0.015625	0.1607142857	69	0.2545454545	0.078125	133	0.1565217391	0.1666666667	2.8	0.5	0.4	29	-5	19	0.9863193555	-7.741302558e-6	-0.006545006124	0.2291666667	0.02508503401	-0.02083333333	0.1804511278	-0.06302713305	-0.126566416	0.4153846154	0.009134615385	-0.0489010989	Salt Lake City, UT	41620	2025-08-01 14:37:32.798 Z
2012-10-01	2012-10-31	30	place	6	17150	FALSE	Salt Lake City, UT	Salt Lake City	Utah	UT	Condo/Co-op	3	151000	-0.2010582011	-0.1364125089	199950	-0.06978367062	-0.07	164.694280079	-0.07893198919	0.006719556254	130.102990033	-0.01916190346	0.01564969701	32	-0.08571428571	0.28	32	-0.08571428571	0.28	38	-0.3870967742	-0.2830188679	276	-0.07070707071	-0.05154639175	8.6	0.1	-3	98	-10	-20	0.9626793778	0.01081588699	0.01275284465	0.03125	0.002678571429	-0.08875	NA	NA	NA	0.03125	0.002678571429	0.03125	Salt Lake City, UT	41620	2025-08-01 14:37:32.798 Z
2021-10-01	2021-10-31	30	place	6	11203	FALSE	Los Angeles, CA	Los Angeles	California	CA	Condo/Co-op	3	670000	0.01669195751	0.1662315057	949700	0.05533948216	0.09167193517	596.216132679	-0.004578282831	0.1461104062	596.393897365	0.01057297584	0.08067676934	564	-0.005291005291	0.1848739496	593	-0.08628659476	0.1470019342	598	-0.04777070064	-0.1728907331	1398	-0.04962610469	-0.2849104859	2.5	-0.1	-1.6	42	-3	-8	1.00934196	-7.15653163e-4	0.01112777044	0.5	0.03968253968	0.1071428571	0.1723891273	0.02011176499	-0.03374898009	0.3743676223	-0.01854455031	0.03007361839	Los Angeles, CA	31084	2025-08-01 14:37:32.798 Z
2022-01-01	2022-01-31	30	place	6	17150	FALSE	Salt Lake City, UT	Salt Lake City	Utah	UT	Condo/Co-op	3	430650	0.01329411765	0.2130985915	510000	0.02102102102	0.1860465116	346.265294659	-0.02789224685	0.06039092386	339.987523394	-0.002703264712	0.1847257561	50	-0.3506493506	-0.1228070175	49	-0.02	-0.3797468354	35	0.2068965517	-0.3859649123	31	-0.3260869565	-0.6868686869	0.6	0	-1.1	34	14	-29	1.001890696	0.01307988877	0.01230519236	0.3	0.1181818182	0.07192982456	0.2258064516	0.0301542777	0.03388725969	0.4489795918	0.1089795918	0.1072074399	Salt Lake City, UT	41620	2025-08-01 14:37:32.798 Z
2012-03-01	2012-03-31	30	place	6	15702	FALSE	Pittsburgh, PA	Pittsburgh	Pennsylvania	PA	Single Family Residential	6	89900	-0.01317233809	0.2861230329	123900	0.03336113428	0.09211106214	66.366390306	-0.006580690787	0.4075746992	91.583333333	0.08611374566	0.2013070303	171	0.3902439024	0.01183431953	167	0.4152542373	0.0245398773	270	0.1489361702	-0.1482649842	NA	NA	NA	9.2	-3.5	-2.7	179	39	18	0.9141597389	-0.006273881698	-0.003632881975	0.09356725146	-0.04464413065	-0.01294162428	0.008922880816	6.002175636e-4	0.001940337175	0	-0.008474576271	0	Pittsburgh, PA	38300	2025-08-01 14:37:32.798 Z
2023-11-01	2023-11-30	30	place	6	17150	FALSE	Salt Lake City, UT	Salt Lake City	Utah	UT	Single Family Residential	6	565250	-0.02543103448	-0.08830645161	529900	-0.0736013986	0.0619238477	298.539994251	-0.130823226	-0.002715046231	351.373182553	0.06379440375	0.08476312697	86	-0.1134020619	-0.1313131313	90	-0.1964285714	-0.1666666667	77	-0.3185840708	-0.01282051282	233	-0.1338289963	-0.06048387097	2.7	-0.1	0.2	28	-4	-6	0.9784889559	-0.006198956278	0.01000810558	0.1976744186	-0.02912970511	0.02595724689	0.4077253219	-0.09041594205	-0.08824242005	0.2111111111	-0.2353174603	-0.03888888889	Salt Lake City, UT	41620	2025-08-01 14:37:32.798 Z
2021-08-01	2021-08-31	30	place	6	11203	FALSE	Los Angeles, CA	Los Angeles	California	CA	Multi-Family (2-4 Unit)	4	1066000	0.07459677419	0.2843373494	898000	-0.001605436247	0	443.686006826	0.0522080877	0.2054247113	577.968560227	-0.01837074493	0.02130504484	183	-0.1488372093	0.4523809524	233	-0.137037037	0.05909090909	288	-0.1529411765	-0.1504424779	997	-0.02731707317	-0.04684512428	5.4	0.6	-2.9	60	-1	-1	1.00130229	0.010022717	0.01697455142	0.393442623	0.03995425086	0.06804579755	0.146439318	0.01961004966	-0.008436399063	0.2103004292	-0.01192179304	-0.04879047991	Los Angeles, CA	31084	2025-08-01 14:37:32.798 Z
2018-02-01	2018-02-28	30	place	6	15702	FALSE	Pittsburgh, PA	Pittsburgh	Pennsylvania	PA	All Residential	-1	149900	-0.01640419948	0.3456014363	184950	0.1939961265	0.08794117647	102.9053576	-0.004807440713	0.2812090769	129.217856996	0.1544719486	0.0494924371	187	-0.2723735409	-0.1220657277	341	0.07570977918	-0.03399433428	326	0.1478873239	0.1319444444	1312	0.06580016247	-0.03101920236	7	2.2	0.6	84	-21	-19	0.9529774605	0.01116707343	0.01476352791	0.1711229947	0.05050042656	0.03027792423	0.1318597561	-0.03142212855	-0.1517443798	0.3900293255	0.06510818987	0.07841459464	Pittsburgh, PA	38300	2025-08-01 14:37:32.798 Z
2022-04-01	2022-04-30	30	place	6	15702	FALSE	Pittsburgh, PA	Pittsburgh	Pennsylvania	PA	Townhouse	13	352500	0.3377609108	0.03372434018	250000	0.04210087536	0.08742931709	233.834585106	0.2346466094	0.02904444341	177.69357816	0.06642807598	0.04014166496	30	-0.0625	0.07142857143	25	-0.375	-0.3055555556	22	-0.2413793103	-0.2413793103	59	-0.03278688525	-0.2976190476	2	0.1	-1	48	-3	-9	1.00226155	0.01533352294	0.02135071689	0.4	0.11875	0.15	0.1016949153	0.003334259517	-0.08878127522	0.56	-0.015	0.2266666667	Pittsburgh, PA	38300	2025-08-01 14:37:32.798 Z
